Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,NO,NO,100,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
2988,2015-9-10,1,1,SEN7,KYLE,0,1,1,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.58
2988,2015-9-10,1,1,SEN7,KYLE,1,1,2,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.08
2988,2015-9-10,1,1,SEN7,KYLE,2,1,3,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.37
2988,2015-9-10,1,1,SEN7,KYLE,3,1,4,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.91
2988,2015-9-10,1,1,SEN7,KYLE,4,1,5,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.18
2988,2015-9-10,1,1,SEN7,KYLE,5,1,6,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.53
2988,2015-9-10,1,1,SEN7,KYLE,6,1,7,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.01
2988,2015-9-10,1,1,SEN7,KYLE,7,1,8,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.29
2988,2015-9-10,1,1,SEN7,KYLE,8,1,9,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,3.7
2988,2015-9-10,1,1,SEN7,KYLE,9,1,10,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.92
2988,2015-9-10,1,1,SEN7,KYLE,10,1,11,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,4.3
2988,2015-9-10,1,1,SEN7,KYLE,11,1,12,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,4.55
2988,2015-9-10,1,1,SEN7,KYLE,12,1,13,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.73
2988,2015-9-10,1,1,SEN7,KYLE,13,1,14,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.92
2988,2015-9-10,1,1,SEN7,KYLE,14,1,15,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,5.7
2988,2015-9-10,1,1,SEN7,KYLE,15,1,16,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.63
2988,2015-9-10,1,1,SEN7,KYLE,16,1,17,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,6.84
2988,2015-9-10,1,1,SEN7,KYLE,17,1,18,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,7.31
2988,2015-9-10,1,1,SEN7,KYLE,18,1,19,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,7.83
2988,2015-9-10,1,1,SEN7,KYLE,19,1,20,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,8.1
2988,2015-9-10,1,1,SEN7,KYLE,20,2,1,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,8.5
2988,2015-9-10,1,1,SEN7,KYLE,21,2,2,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.78
2988,2015-9-10,1,1,SEN7,KYLE,22,2,3,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,9.49
2988,2015-9-10,1,1,SEN7,KYLE,23,2,4,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,9.96
2988,2015-9-10,1,1,SEN7,KYLE,24,2,5,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.17
2988,2015-9-10,1,1,SEN7,KYLE,25,2,6,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,10.52
2988,2015-9-10,1,1,SEN7,KYLE,26,2,7,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,10.74
2988,2015-9-10,1,1,SEN7,KYLE,27,2,8,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,11.73
2988,2015-9-10,1,1,SEN7,KYLE,28,2,9,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,11.91
2988,2015-9-10,1,1,SEN7,KYLE,29,2,10,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,12.1
2988,2015-9-10,1,1,SEN7,KYLE,30,2,11,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,12.57
2988,2015-9-10,1,1,SEN7,KYLE,31,2,12,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,12.94
2988,2015-9-10,1,1,SEN7,KYLE,32,2,13,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,13.13
2988,2015-9-10,1,1,SEN7,KYLE,33,2,14,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,13.59
2988,2015-9-10,1,1,SEN7,KYLE,34,2,15,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,13.86
2988,2015-9-10,1,1,SEN7,KYLE,35,2,16,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,14.29
2988,2015-9-10,1,1,SEN7,KYLE,36,2,17,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,14.48
2988,2015-9-10,1,1,SEN7,KYLE,37,2,18,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,14.67
2988,2015-9-10,1,1,SEN7,KYLE,38,2,19,2,1,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,14.97
