animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
2997,2015-9-03,1,1,SEN6,KYLE,0,1,1,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,6,TRUE,TRUE,0.41
2997,2015-9-03,1,1,SEN6,KYLE,1,1,2,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.64
2997,2015-9-03,1,1,SEN6,KYLE,2,1,3,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,0.83
2997,2015-9-03,1,1,SEN6,KYLE,3,1,4,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,1
2997,2015-9-03,1,1,SEN6,KYLE,4,1,5,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.23
2997,2015-9-03,1,1,SEN6,KYLE,5,1,6,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.39
2997,2015-9-03,1,1,SEN6,KYLE,6,1,7,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,1.54
2997,2015-9-03,1,1,SEN6,KYLE,7,1,8,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.73
2997,2015-9-03,1,1,SEN6,KYLE,8,1,9,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,1.89
2997,2015-9-03,1,1,SEN6,KYLE,9,1,10,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,2.1
2997,2015-9-03,1,1,SEN6,KYLE,10,1,11,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,2.28
2997,2015-9-03,1,1,SEN6,KYLE,11,1,12,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.45
2997,2015-9-03,1,1,SEN6,KYLE,12,1,13,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,2.63
2997,2015-9-03,1,1,SEN6,KYLE,13,1,14,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.82
2997,2015-9-03,1,1,SEN6,KYLE,14,1,15,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.98
2997,2015-9-03,1,1,SEN6,KYLE,15,1,16,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,3.23
2997,2015-9-03,1,1,SEN6,KYLE,16,1,17,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.39
2997,2015-9-03,1,1,SEN6,KYLE,17,1,18,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,3.56
2997,2015-9-03,1,1,SEN6,KYLE,18,1,19,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.76
2997,2015-9-03,1,1,SEN6,KYLE,19,1,20,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,3,TRUE,FALSE,3.97
2997,2015-9-03,1,1,SEN6,KYLE,20,2,1,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.16
2997,2015-9-03,1,1,SEN6,KYLE,21,2,2,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.34
2997,2015-9-03,1,1,SEN6,KYLE,22,2,3,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,4.49
2997,2015-9-03,1,1,SEN6,KYLE,23,2,4,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.66
2997,2015-9-03,1,1,SEN6,KYLE,24,2,5,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.86
2997,2015-9-03,1,1,SEN6,KYLE,25,2,6,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.05
2997,2015-9-03,1,1,SEN6,KYLE,26,2,7,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,5.22
2997,2015-9-03,1,1,SEN6,KYLE,27,2,8,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.4
2997,2015-9-03,1,1,SEN6,KYLE,28,2,9,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,5.61
2997,2015-9-03,1,1,SEN6,KYLE,29,2,10,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,5.76
2997,2015-9-03,1,1,SEN6,KYLE,30,2,11,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,5.93
2997,2015-9-03,1,1,SEN6,KYLE,31,2,12,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.15
2997,2015-9-03,1,1,SEN6,KYLE,32,2,13,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,6.33
2997,2015-9-03,1,1,SEN6,KYLE,33,2,14,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.68
2997,2015-9-03,1,1,SEN6,KYLE,34,2,15,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,6.86
2997,2015-9-03,1,1,SEN6,KYLE,35,2,16,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,7.07
2997,2015-9-03,1,1,SEN6,KYLE,36,2,17,1,2,0.00001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,7.24
