Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,STOP
,85,201,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3069,2015-12-05,1,1,OP1,RYAN,0,1,1,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.37
3069,2015-12-05,1,1,OP1,RYAN,1,1,1,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.56
3069,2015-12-05,1,1,OP1,RYAN,2,1,1,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.71
3069,2015-12-05,1,1,OP1,RYAN,3,1,1,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.93
3069,2015-12-05,1,1,OP1,RYAN,4,1,2,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.22
3069,2015-12-05,1,1,OP1,RYAN,5,1,3,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,1.52
3069,2015-12-05,1,1,OP1,RYAN,6,1,4,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.75
3069,2015-12-05,1,1,OP1,RYAN,7,1,5,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,4,FALSE,FALSE,2.02
3069,2015-12-05,1,1,OP1,RYAN,8,1,6,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,2.26
3069,2015-12-05,1,1,OP1,RYAN,9,1,6,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,9,FALSE,FALSE,2.42
3069,2015-12-05,1,1,OP1,RYAN,10,1,7,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.58
3069,2015-12-05,1,1,OP1,RYAN,11,1,8,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,2.72
3069,2015-12-05,1,1,OP1,RYAN,12,1,8,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,2.88
3069,2015-12-05,1,1,OP1,RYAN,13,1,9,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.1
3069,2015-12-05,1,1,OP1,RYAN,14,1,10,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.3
3069,2015-12-05,1,1,OP1,RYAN,15,1,11,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,3.47
3069,2015-12-05,1,1,OP1,RYAN,16,1,12,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,3.75
3069,2015-12-05,1,1,OP1,RYAN,17,1,12,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,4.23
3069,2015-12-05,1,1,OP1,RYAN,18,1,13,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.42
3069,2015-12-05,1,1,OP1,RYAN,19,1,14,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.61
3069,2015-12-05,1,1,OP1,RYAN,20,1,15,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,5.19
3069,2015-12-05,1,1,OP1,RYAN,21,1,16,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.37
3069,2015-12-05,1,1,OP1,RYAN,22,1,17,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,5.67
3069,2015-12-05,1,1,OP1,RYAN,23,1,18,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.95
3069,2015-12-05,1,1,OP1,RYAN,24,1,19,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,6.13
3069,2015-12-05,1,1,OP1,RYAN,25,1,20,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,6.25
3069,2015-12-05,1,1,OP1,RYAN,26,1,20,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,6.44
3069,2015-12-05,1,1,OP1,RYAN,27,2,1,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,6.65
3069,2015-12-05,1,1,OP1,RYAN,28,2,2,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.84
3069,2015-12-05,1,1,OP1,RYAN,29,2,3,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,7.06
3069,2015-12-05,1,1,OP1,RYAN,30,2,4,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,7.2
3069,2015-12-05,1,1,OP1,RYAN,31,2,4,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,7.44
3069,2015-12-05,1,1,OP1,RYAN,32,2,4,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,7.85
3069,2015-12-05,1,1,OP1,RYAN,33,2,4,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,8.1
3069,2015-12-05,1,1,OP1,RYAN,34,2,5,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,8.37
3069,2015-12-05,1,1,OP1,RYAN,35,2,5,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.55
3069,2015-12-05,1,1,OP1,RYAN,36,2,6,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,8.71
3069,2015-12-05,1,1,OP1,RYAN,37,2,7,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,8.93
3069,2015-12-05,1,1,OP1,RYAN,38,2,7,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,9.41
3069,2015-12-05,1,1,OP1,RYAN,39,2,8,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,9.85
3069,2015-12-05,1,1,OP1,RYAN,40,2,9,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,10.02
3069,2015-12-05,1,1,OP1,RYAN,41,2,9,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,3,TRUE,FALSE,10.28
3069,2015-12-05,1,1,OP1,RYAN,42,2,10,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,10.5
3069,2015-12-05,1,1,OP1,RYAN,43,2,11,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.91
3069,2015-12-05,1,1,OP1,RYAN,44,2,12,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,11.1
3069,2015-12-05,1,1,OP1,RYAN,45,2,13,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,11.3
3069,2015-12-05,1,1,OP1,RYAN,46,2,14,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,11.57
3069,2015-12-05,1,1,OP1,RYAN,47,2,15,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,3,TRUE,FALSE,11.75
3069,2015-12-05,1,1,OP1,RYAN,48,2,16,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,11.9
3069,2015-12-05,1,1,OP1,RYAN,49,2,16,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,12.17
3069,2015-12-05,1,1,OP1,RYAN,50,2,17,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,12.42
3069,2015-12-05,1,1,OP1,RYAN,51,2,17,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,12.63
3069,2015-12-05,1,1,OP1,RYAN,52,2,17,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,12.81
3069,2015-12-05,1,1,OP1,RYAN,53,2,18,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,13.17
3069,2015-12-05,1,1,OP1,RYAN,54,2,19,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,13.32
3069,2015-12-05,1,1,OP1,RYAN,55,2,19,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,13.78
3069,2015-12-05,1,1,OP1,RYAN,56,2,19,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,14.46
3069,2015-12-05,1,1,OP1,RYAN,57,2,19,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,2,FALSE,FALSE,14.68
3069,2015-12-05,1,1,OP1,RYAN,58,2,20,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,15.14
3069,2015-12-05,1,1,OP1,RYAN,59,2,20,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,15.31
3069,2015-12-05,1,1,OP1,RYAN,60,2,20,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,15.44
3069,2015-12-05,1,1,OP1,RYAN,61,2,20,1,2,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,15.62
