Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,NO,NO,100,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3069,2015-12-21,1,1,SEN5,KYLE,0,1,1,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.45
3069,2015-12-21,1,1,SEN5,KYLE,1,1,1,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.63
3069,2015-12-21,1,1,SEN5,KYLE,2,1,1,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.85
3069,2015-12-21,1,1,SEN5,KYLE,3,1,2,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.03
3069,2015-12-21,1,1,SEN5,KYLE,4,1,3,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.32
3069,2015-12-21,1,1,SEN5,KYLE,5,1,4,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.65
3069,2015-12-21,1,1,SEN5,KYLE,6,1,5,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.86
3069,2015-12-21,1,1,SEN5,KYLE,7,1,6,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.12
3069,2015-12-21,1,1,SEN5,KYLE,8,1,7,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.45
3069,2015-12-21,1,1,SEN5,KYLE,9,1,8,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.64
3069,2015-12-21,1,1,SEN5,KYLE,10,1,9,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,2.79
3069,2015-12-21,1,1,SEN5,KYLE,11,1,10,2,1,0.0001ppm EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.97
