Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,YES,STOP
,85,201,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3083,2015-11-03,1,1,INTRO,RYAN,0,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,0.4
3083,2015-11-03,1,1,INTRO,RYAN,1,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,11.19
3083,2015-11-03,1,1,INTRO,RYAN,2,1,2,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,11.55
3083,2015-11-03,1,1,INTRO,RYAN,3,1,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,6,FALSE,FALSE,11.74
3083,2015-11-03,1,1,INTRO,RYAN,4,1,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,12.02
3083,2015-11-03,1,1,INTRO,RYAN,5,1,5,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,13.41
3083,2015-11-03,1,1,INTRO,RYAN,6,1,6,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,8,FALSE,FALSE,13.83
3083,2015-11-03,1,1,INTRO,RYAN,7,1,7,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,14.05
3083,2015-11-03,1,1,INTRO,RYAN,8,1,8,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,14.37
3083,2015-11-03,1,1,INTRO,RYAN,9,1,9,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,8,FALSE,FALSE,14.55
3083,2015-11-03,1,1,INTRO,RYAN,10,1,10,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,14.71
3083,2015-11-03,1,1,INTRO,RYAN,11,1,11,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,15.31
3083,2015-11-03,1,1,INTRO,RYAN,12,1,12,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,15.76
3083,2015-11-03,1,1,INTRO,RYAN,13,1,13,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,16.8
3083,2015-11-03,1,1,INTRO,RYAN,14,1,14,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,19.59
3083,2015-11-03,1,1,INTRO,RYAN,15,1,15,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,20.06
3083,2015-11-03,1,1,INTRO,RYAN,16,1,16,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,22.42
3083,2015-11-03,1,1,INTRO,RYAN,17,1,17,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,9,FALSE,FALSE,23.49
3083,2015-11-03,1,1,INTRO,RYAN,18,1,18,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,24.94
3083,2015-11-03,1,1,INTRO,RYAN,19,1,19,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,25.41
3083,2015-11-03,1,1,INTRO,RYAN,20,1,20,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,26.34
3083,2015-11-03,1,1,INTRO,RYAN,21,1,20,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,27.95
3083,2015-11-03,1,1,INTRO,RYAN,22,2,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,28.1
3083,2015-11-03,1,1,INTRO,RYAN,23,2,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,5,TRUE,FALSE,29.37
3083,2015-11-03,1,1,INTRO,RYAN,24,2,2,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,30.06
3083,2015-11-03,1,1,INTRO,RYAN,25,2,2,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,32.02
3083,2015-11-03,1,1,INTRO,RYAN,26,2,2,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,32.38
3083,2015-11-03,1,1,INTRO,RYAN,27,2,2,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,1,FALSE,FALSE,34.37
3083,2015-11-03,1,1,INTRO,RYAN,28,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,35.57
3083,2015-11-03,1,1,INTRO,RYAN,29,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,38.77
3083,2015-11-03,1,1,INTRO,RYAN,30,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,41.04
3083,2015-11-03,1,1,INTRO,RYAN,31,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,44.62
3083,2015-11-03,1,1,INTRO,RYAN,32,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,45.51
3083,2015-11-03,1,1,INTRO,RYAN,33,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,45.84
3083,2015-11-03,1,1,INTRO,RYAN,34,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,48.68
3083,2015-11-03,1,1,INTRO,RYAN,35,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,49.53
3083,2015-11-03,1,1,INTRO,RYAN,36,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,9,TRUE,TRUE,49.74
3083,2015-11-03,1,1,INTRO,RYAN,37,2,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,50.69
3083,2015-11-03,1,1,INTRO,RYAN,38,2,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,54.54
3083,2015-11-03,1,1,INTRO,RYAN,39,2,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,59.19
