Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,STOP
,85,201,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3098,2015-10-22,1,1,OP1,RYAN,0,1,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.83
3098,2015-10-22,1,1,OP1,RYAN,1,1,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.27
3098,2015-10-22,1,1,OP1,RYAN,2,1,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,1.41
3098,2015-10-22,1,1,OP1,RYAN,3,1,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,1.77
3098,2015-10-22,1,1,OP1,RYAN,4,1,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.36
3098,2015-10-22,1,1,OP1,RYAN,5,1,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.63
3098,2015-10-22,1,1,OP1,RYAN,6,1,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.87
3098,2015-10-22,1,1,OP1,RYAN,7,1,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,3.17
3098,2015-10-22,1,1,OP1,RYAN,8,1,7,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,1,FALSE,FALSE,3.4
3098,2015-10-22,1,1,OP1,RYAN,9,1,8,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,3.56
3098,2015-10-22,1,1,OP1,RYAN,10,1,9,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.81
3098,2015-10-22,1,1,OP1,RYAN,11,1,10,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,5.18
3098,2015-10-22,1,1,OP1,RYAN,12,1,10,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,5.94
3098,2015-10-22,1,1,OP1,RYAN,13,1,11,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,6.63
3098,2015-10-22,1,1,OP1,RYAN,14,1,11,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,7.68
3098,2015-10-22,1,1,OP1,RYAN,15,1,11,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.69
3098,2015-10-22,1,1,OP1,RYAN,16,1,12,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.87
3098,2015-10-22,1,1,OP1,RYAN,17,1,13,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,9.97
3098,2015-10-22,1,1,OP1,RYAN,18,1,14,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.19
3098,2015-10-22,1,1,OP1,RYAN,19,1,15,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,10.37
3098,2015-10-22,1,1,OP1,RYAN,20,1,16,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,10.92
3098,2015-10-22,1,1,OP1,RYAN,21,1,16,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,11.16
3098,2015-10-22,1,1,OP1,RYAN,22,1,17,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,11.35
3098,2015-10-22,1,1,OP1,RYAN,23,1,18,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,11.69
3098,2015-10-22,1,1,OP1,RYAN,24,1,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,12.76
3098,2015-10-22,1,1,OP1,RYAN,25,1,20,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,13.11
3098,2015-10-22,1,1,OP1,RYAN,26,1,20,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,13.4
3098,2015-10-22,1,1,OP1,RYAN,27,2,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,13.6
3098,2015-10-22,1,1,OP1,RYAN,28,2,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,13.85
3098,2015-10-22,1,1,OP1,RYAN,29,2,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,14.43
3098,2015-10-22,1,1,OP1,RYAN,30,2,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,14.75
3098,2015-10-22,1,1,OP1,RYAN,31,2,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,15.03
3098,2015-10-22,1,1,OP1,RYAN,32,2,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,15.67
3098,2015-10-22,1,1,OP1,RYAN,33,2,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,16.25
3098,2015-10-22,1,1,OP1,RYAN,34,2,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,17.22
3098,2015-10-22,1,1,OP1,RYAN,35,2,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,19.58
3098,2015-10-22,1,1,OP1,RYAN,36,2,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,19.74
3098,2015-10-22,1,1,OP1,RYAN,37,2,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,20.32
3098,2015-10-22,1,1,OP1,RYAN,38,2,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,22.28
3098,2015-10-22,1,1,OP1,RYAN,39,2,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,23.42
3098,2015-10-22,1,1,OP1,RYAN,40,2,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,24.01
3098,2015-10-22,1,1,OP1,RYAN,41,2,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,25.04
3098,2015-10-22,1,1,OP1,RYAN,42,2,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,25.64
3098,2015-10-22,1,1,OP1,RYAN,43,2,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,25.97
