Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,NO,NO,100,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3098,2015-10-26,1,1,SEN1,RYAN,0,1,1,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.86
3098,2015-10-26,1,1,SEN1,RYAN,1,1,2,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.11
3098,2015-10-26,1,1,SEN1,RYAN,2,1,3,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.5
3098,2015-10-26,1,1,SEN1,RYAN,3,1,4,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.76
3098,2015-10-26,1,1,SEN1,RYAN,4,1,5,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.96
3098,2015-10-26,1,1,SEN1,RYAN,5,1,6,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.21
3098,2015-10-26,1,1,SEN1,RYAN,6,1,7,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.46
3098,2015-10-26,1,1,SEN1,RYAN,7,1,8,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.77
3098,2015-10-26,1,1,SEN1,RYAN,8,1,9,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.14
3098,2015-10-26,1,1,SEN1,RYAN,9,1,10,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,4.35
3098,2015-10-26,1,1,SEN1,RYAN,10,1,11,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,4.53
3098,2015-10-26,1,1,SEN1,RYAN,11,1,12,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.77
3098,2015-10-26,1,1,SEN1,RYAN,12,1,13,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.94
3098,2015-10-26,1,1,SEN1,RYAN,13,1,14,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.3
3098,2015-10-26,1,1,SEN1,RYAN,14,1,15,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,5.47
3098,2015-10-26,1,1,SEN1,RYAN,15,1,16,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,5.69
3098,2015-10-26,1,1,SEN1,RYAN,16,1,17,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.13
3098,2015-10-26,1,1,SEN1,RYAN,17,1,18,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,6.39
3098,2015-10-26,1,1,SEN1,RYAN,18,1,19,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.67
