Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,NO,NO,201,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3199,2016-3-20,1,1,INTRO,ANTONIA,0,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,2.87
3199,2016-3-20,1,1,INTRO,ANTONIA,1,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,2.99
3199,2016-3-20,1,1,INTRO,ANTONIA,2,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,5.52
3199,2016-3-20,1,1,INTRO,ANTONIA,3,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,5.68
3199,2016-3-20,1,1,INTRO,ANTONIA,4,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,5.84
3199,2016-3-20,1,1,INTRO,ANTONIA,5,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,6.32
3199,2016-3-20,1,1,INTRO,ANTONIA,6,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,6.5
3199,2016-3-20,1,1,INTRO,ANTONIA,7,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,6.97
3199,2016-3-20,1,1,INTRO,ANTONIA,8,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,7.3
3199,2016-3-20,1,1,INTRO,ANTONIA,9,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,9.42
3199,2016-3-20,1,1,INTRO,ANTONIA,10,1,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,8,TRUE,TRUE,9.62
3199,2016-3-20,1,1,INTRO,ANTONIA,11,1,2,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,9,FALSE,FALSE,9.79
3199,2016-3-20,1,1,INTRO,ANTONIA,12,1,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,4,FALSE,FALSE,10.06
3199,2016-3-20,1,1,INTRO,ANTONIA,13,1,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,3,FALSE,FALSE,10.27
3199,2016-3-20,1,1,INTRO,ANTONIA,14,1,5,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,6,FALSE,FALSE,10.67
3199,2016-3-20,1,1,INTRO,ANTONIA,15,1,6,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,6,TRUE,TRUE,10.84
3199,2016-3-20,1,1,INTRO,ANTONIA,16,1,7,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,11.04
3199,2016-3-20,1,1,INTRO,ANTONIA,17,1,8,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,11.21
3199,2016-3-20,1,1,INTRO,ANTONIA,18,1,9,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,11.55
3199,2016-3-20,1,1,INTRO,ANTONIA,19,1,10,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,11.86
3199,2016-3-20,1,1,INTRO,ANTONIA,20,1,11,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,12.06
3199,2016-3-20,1,1,INTRO,ANTONIA,21,1,12,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,6,TRUE,TRUE,12.69
3199,2016-3-20,1,1,INTRO,ANTONIA,22,1,13,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,13.23
3199,2016-3-20,1,1,INTRO,ANTONIA,23,1,14,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,5,FALSE,FALSE,13.86
3199,2016-3-20,1,1,INTRO,ANTONIA,24,1,15,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,14.24
3199,2016-3-20,1,1,INTRO,ANTONIA,25,1,16,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,14.91
3199,2016-3-20,1,1,INTRO,ANTONIA,26,1,17,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,16.23
3199,2016-3-20,1,1,INTRO,ANTONIA,27,1,18,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,16.86
3199,2016-3-20,1,1,INTRO,ANTONIA,28,1,19,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,6,TRUE,TRUE,19.01
3199,2016-3-20,1,1,INTRO,ANTONIA,29,1,20,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,8,FALSE,FALSE,20.55
3199,2016-3-20,1,1,INTRO,ANTONIA,30,2,1,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,20.76
3199,2016-3-20,1,1,INTRO,ANTONIA,31,2,2,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,21.06
3199,2016-3-20,1,1,INTRO,ANTONIA,32,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,21.7
3199,2016-3-20,1,1,INTRO,ANTONIA,33,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,22.63
3199,2016-3-20,1,1,INTRO,ANTONIA,34,2,3,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,23.27
3199,2016-3-20,1,1,INTRO,ANTONIA,35,2,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,23.45
3199,2016-3-20,1,1,INTRO,ANTONIA,36,2,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,23.63
3199,2016-3-20,1,1,INTRO,ANTONIA,37,2,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,24.66
3199,2016-3-20,1,1,INTRO,ANTONIA,38,2,4,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,24.88
3199,2016-3-20,1,1,INTRO,ANTONIA,39,2,5,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,25.98
3199,2016-3-20,1,1,INTRO,ANTONIA,40,2,5,1,2,PATCHOULI,CARDAMOM,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,26.84
