animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3215,2016-3-15,1,1,INTRO,RYAN,0,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.57
3215,2016-3-15,1,1,INTRO,RYAN,1,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.93
3215,2016-3-15,1,1,INTRO,RYAN,2,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1.07
3215,2016-3-15,1,1,INTRO,RYAN,3,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1.47
3215,2016-3-15,1,1,INTRO,RYAN,4,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1.95
3215,2016-3-15,1,1,INTRO,RYAN,5,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,2.22
3215,2016-3-15,1,1,INTRO,RYAN,6,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,2.37
3215,2016-3-15,1,1,INTRO,RYAN,7,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,2.63
3215,2016-3-15,1,1,INTRO,RYAN,8,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,2.91
3215,2016-3-15,1,1,INTRO,RYAN,9,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,3.22
3215,2016-3-15,1,1,INTRO,RYAN,10,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,4.85
3215,2016-3-15,1,1,INTRO,RYAN,11,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,5.77
3215,2016-3-15,1,1,INTRO,RYAN,12,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,6.38
3215,2016-3-15,1,1,INTRO,RYAN,13,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,7.75
3215,2016-3-15,1,1,INTRO,RYAN,14,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,7.93
3215,2016-3-15,1,1,INTRO,RYAN,15,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,8.07
3215,2016-3-15,1,1,INTRO,RYAN,16,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,8.67
3215,2016-3-15,1,1,INTRO,RYAN,17,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,8.93
3215,2016-3-15,1,1,INTRO,RYAN,18,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,10.15
3215,2016-3-15,1,1,INTRO,RYAN,19,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,10.57
3215,2016-3-15,1,1,INTRO,RYAN,20,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,11.02
3215,2016-3-15,1,1,INTRO,RYAN,21,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,11.39
3215,2016-3-15,1,1,INTRO,RYAN,22,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,11.6
3215,2016-3-15,1,1,INTRO,RYAN,23,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,12.49
3215,2016-3-15,1,1,INTRO,RYAN,24,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,12.62
3215,2016-3-15,1,1,INTRO,RYAN,25,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,13.7
3215,2016-3-15,1,1,INTRO,RYAN,26,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,13.99
3215,2016-3-15,1,1,INTRO,RYAN,27,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,14.28
3215,2016-3-15,1,1,INTRO,RYAN,28,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,14.75
3215,2016-3-15,1,1,INTRO,RYAN,29,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,16.07
3215,2016-3-15,1,1,INTRO,RYAN,30,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,16.4
3215,2016-3-15,1,1,INTRO,RYAN,31,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,17.02
3215,2016-3-15,1,1,INTRO,RYAN,32,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,17.16
3215,2016-3-15,1,1,INTRO,RYAN,33,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,18.59
3215,2016-3-15,1,1,INTRO,RYAN,34,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,18.75
3215,2016-3-15,1,1,INTRO,RYAN,35,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,19.28
3215,2016-3-15,1,1,INTRO,RYAN,36,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,19.91
3215,2016-3-15,1,1,INTRO,RYAN,37,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,20.42
3215,2016-3-15,1,1,INTRO,RYAN,38,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,21.07
3215,2016-3-15,1,1,INTRO,RYAN,39,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,21.43
3215,2016-3-15,1,1,INTRO,RYAN,40,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,21.75
3215,2016-3-15,1,1,INTRO,RYAN,41,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,22.28
3215,2016-3-15,1,1,INTRO,RYAN,42,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,22.45
3215,2016-3-15,1,1,INTRO,RYAN,43,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,23.99
3215,2016-3-15,1,1,INTRO,RYAN,44,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,24.32
3215,2016-3-15,1,1,INTRO,RYAN,45,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,24.45
3215,2016-3-15,1,1,INTRO,RYAN,46,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,24.71
3215,2016-3-15,1,1,INTRO,RYAN,47,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,25.16
3215,2016-3-15,1,1,INTRO,RYAN,48,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,25.91
3215,2016-3-15,1,1,INTRO,RYAN,49,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,26.23
3215,2016-3-15,1,1,INTRO,RYAN,50,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,26.65
3215,2016-3-15,1,1,INTRO,RYAN,51,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,26.89
3215,2016-3-15,1,1,INTRO,RYAN,52,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,27.23
3215,2016-3-15,1,1,INTRO,RYAN,53,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,27.4
3215,2016-3-15,1,1,INTRO,RYAN,54,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,28.58
3215,2016-3-15,1,1,INTRO,RYAN,55,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,29.57
3215,2016-3-15,1,1,INTRO,RYAN,56,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,29.98
3215,2016-3-15,1,1,INTRO,RYAN,57,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,30.67
3215,2016-3-15,1,1,INTRO,RYAN,58,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,31.23
3215,2016-3-15,1,1,INTRO,RYAN,59,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,32.03
3215,2016-3-15,1,1,INTRO,RYAN,60,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,33.65
3215,2016-3-15,1,1,INTRO,RYAN,61,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,33.98
3215,2016-3-15,1,1,INTRO,RYAN,62,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,34.39
3215,2016-3-15,1,1,INTRO,RYAN,63,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,35.11
3215,2016-3-15,1,1,INTRO,RYAN,64,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,35.44
3215,2016-3-15,1,1,INTRO,RYAN,65,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,35.95
3215,2016-3-15,1,1,INTRO,RYAN,66,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,36.28
3215,2016-3-15,1,1,INTRO,RYAN,67,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,36.51
3215,2016-3-15,1,1,INTRO,RYAN,68,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,37.22
3215,2016-3-15,1,1,INTRO,RYAN,69,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,37.37
3215,2016-3-15,1,1,INTRO,RYAN,70,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,37.5
3215,2016-3-15,1,1,INTRO,RYAN,71,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,38.33
3215,2016-3-15,1,1,INTRO,RYAN,72,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,39.09
3215,2016-3-15,1,1,INTRO,RYAN,73,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,39.54
3215,2016-3-15,1,1,INTRO,RYAN,74,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,39.68
3215,2016-3-15,1,1,INTRO,RYAN,75,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,39.91
3215,2016-3-15,1,1,INTRO,RYAN,76,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,40.77
3215,2016-3-15,1,1,INTRO,RYAN,77,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,40.92
3215,2016-3-15,1,1,INTRO,RYAN,78,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,41.11
3215,2016-3-15,1,1,INTRO,RYAN,79,1,1,2,1,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,41.27
