Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,NO,NO,40,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3227,2016-5-03,1,1,SEN1,RYAN,0,1,1,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.46
3227,2016-5-03,1,1,SEN1,RYAN,1,1,2,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,0.63
3227,2016-5-03,1,1,SEN1,RYAN,2,1,2,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.8
3227,2016-5-03,1,1,SEN1,RYAN,3,1,3,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1
3227,2016-5-03,1,1,SEN1,RYAN,4,1,3,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1.22
3227,2016-5-03,1,1,SEN1,RYAN,5,1,3,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.41
3227,2016-5-03,1,1,SEN1,RYAN,6,1,4,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,1.64
3227,2016-5-03,1,1,SEN1,RYAN,7,1,5,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.83
3227,2016-5-03,1,1,SEN1,RYAN,8,1,6,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,9,FALSE,FALSE,2.09
3227,2016-5-03,1,1,SEN1,RYAN,9,1,7,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.34
3227,2016-5-03,1,1,SEN1,RYAN,10,1,8,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,2.6
3227,2016-5-03,1,1,SEN1,RYAN,11,1,8,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.89
3227,2016-5-03,1,1,SEN1,RYAN,12,1,9,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.13
3227,2016-5-03,1,1,SEN1,RYAN,13,1,10,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,3.31
3227,2016-5-03,1,1,SEN1,RYAN,14,1,10,1,2,1PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,3.56
