Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,YES,STOP
,85,201,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3290,2016-6-14,1,1,INTRO,VIVIAN,0,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,1.15
3290,2016-6-14,1,1,INTRO,VIVIAN,1,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,1.3
3290,2016-6-14,1,1,INTRO,VIVIAN,2,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,2.61
3290,2016-6-14,1,1,INTRO,VIVIAN,3,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,2.89
3290,2016-6-14,1,1,INTRO,VIVIAN,4,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,3.59
3290,2016-6-14,1,1,INTRO,VIVIAN,5,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,3.83
3290,2016-6-14,1,1,INTRO,VIVIAN,6,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,6.29
3290,2016-6-14,1,1,INTRO,VIVIAN,7,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,7.25
3290,2016-6-14,1,1,INTRO,VIVIAN,8,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,7.57
3290,2016-6-14,1,1,INTRO,VIVIAN,9,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,8.03
3290,2016-6-14,1,1,INTRO,VIVIAN,10,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,8.27
3290,2016-6-14,1,1,INTRO,VIVIAN,11,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,9.07
3290,2016-6-14,1,1,INTRO,VIVIAN,12,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,9.68
3290,2016-6-14,1,1,INTRO,VIVIAN,13,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,9.85
3290,2016-6-14,1,1,INTRO,VIVIAN,14,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,10.03
3290,2016-6-14,1,1,INTRO,VIVIAN,15,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,10.34
3290,2016-6-14,1,1,INTRO,VIVIAN,16,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,10.62
3290,2016-6-14,1,1,INTRO,VIVIAN,17,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,10.78
3290,2016-6-14,1,1,INTRO,VIVIAN,18,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,10.99
3290,2016-6-14,1,1,INTRO,VIVIAN,19,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,11.37
3290,2016-6-14,1,1,INTRO,VIVIAN,20,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,11.5
3290,2016-6-14,1,1,INTRO,VIVIAN,21,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,11.64
3290,2016-6-14,1,1,INTRO,VIVIAN,22,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,12.38
3290,2016-6-14,1,1,INTRO,VIVIAN,23,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,1,4,4,NO,P,TRUE,0,NA,FALSE,12.88
