Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,STOP
,85,201,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3297,2016-6-11,1,1,INTRO,VIVIAN,0,1,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.91
3297,2016-6-11,1,1,INTRO,VIVIAN,1,1,2,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.32
3297,2016-6-11,1,1,INTRO,VIVIAN,2,1,3,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.66
3297,2016-6-11,1,1,INTRO,VIVIAN,3,1,4,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.01
3297,2016-6-11,1,1,INTRO,VIVIAN,4,1,5,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.41
3297,2016-6-11,1,1,INTRO,VIVIAN,5,1,6,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,4.67
3297,2016-6-11,1,1,INTRO,VIVIAN,6,1,7,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.99
3297,2016-6-11,1,1,INTRO,VIVIAN,7,1,8,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,5.67
3297,2016-6-11,1,1,INTRO,VIVIAN,8,1,9,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.97
3297,2016-6-11,1,1,INTRO,VIVIAN,9,1,10,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,6.26
3297,2016-6-11,1,1,INTRO,VIVIAN,10,1,11,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.6
3297,2016-6-11,1,1,INTRO,VIVIAN,11,1,12,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.96
3297,2016-6-11,1,1,INTRO,VIVIAN,12,1,13,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,7.18
3297,2016-6-11,1,1,INTRO,VIVIAN,13,1,14,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,7.56
3297,2016-6-11,1,1,INTRO,VIVIAN,14,1,15,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,8.14
3297,2016-6-11,1,1,INTRO,VIVIAN,15,1,16,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,8.45
3297,2016-6-11,1,1,INTRO,VIVIAN,16,1,17,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,9.36
3297,2016-6-11,1,1,INTRO,VIVIAN,17,1,18,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,9.69
3297,2016-6-11,1,1,INTRO,VIVIAN,18,1,19,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,9.9
3297,2016-6-11,1,1,INTRO,VIVIAN,19,1,20,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.11
3297,2016-6-11,1,1,INTRO,VIVIAN,20,2,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.72
3297,2016-6-11,1,1,INTRO,VIVIAN,21,2,2,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.97
3297,2016-6-11,1,1,INTRO,VIVIAN,22,2,3,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,6,FALSE,FALSE,11.18
3297,2016-6-11,1,1,INTRO,VIVIAN,23,2,4,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,11.61
3297,2016-6-11,1,1,INTRO,VIVIAN,24,2,5,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,11.91
3297,2016-6-11,1,1,INTRO,VIVIAN,25,2,6,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,12.21
3297,2016-6-11,1,1,INTRO,VIVIAN,26,2,7,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,12.5
3297,2016-6-11,1,1,INTRO,VIVIAN,27,2,8,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,12.86
3297,2016-6-11,1,1,INTRO,VIVIAN,28,2,9,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,13.12
3297,2016-6-11,1,1,INTRO,VIVIAN,29,2,10,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,13.9
3297,2016-6-11,1,1,INTRO,VIVIAN,30,2,11,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,14.14
3297,2016-6-11,1,1,INTRO,VIVIAN,31,2,12,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,14.38
3297,2016-6-11,1,1,INTRO,VIVIAN,32,2,13,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,14.59
3297,2016-6-11,1,1,INTRO,VIVIAN,33,2,14,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,14.93
3297,2016-6-11,1,1,INTRO,VIVIAN,34,2,15,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,15.53
3297,2016-6-11,1,1,INTRO,VIVIAN,35,2,16,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,6,FALSE,FALSE,15.7
3297,2016-6-11,1,1,INTRO,VIVIAN,36,2,17,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,5,FALSE,FALSE,16.25
3297,2016-6-11,1,1,INTRO,VIVIAN,37,2,18,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,16.54
3297,2016-6-11,1,1,INTRO,VIVIAN,38,2,19,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,16.97
3297,2016-6-11,1,1,INTRO,VIVIAN,39,2,20,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,17.24
3297,2016-6-11,1,1,INTRO,VIVIAN,40,3,1,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,17.6
3297,2016-6-11,1,1,INTRO,VIVIAN,41,3,2,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,17.77
3297,2016-6-11,1,1,INTRO,VIVIAN,42,3,3,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,18.91
3297,2016-6-11,1,1,INTRO,VIVIAN,43,3,4,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,19.43
3297,2016-6-11,1,1,INTRO,VIVIAN,44,3,5,1,2,CARDAMOM,PATCHOULI,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,19.66
