Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,NO,NO,100,YES,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3319,2016-7-02,1,1,SEN6,KYLE,0,1,1,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,9,TRUE,TRUE,0.93
3319,2016-7-02,1,1,SEN6,KYLE,1,1,2,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.17
3319,2016-7-02,1,1,SEN6,KYLE,2,1,3,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.37
3319,2016-7-02,1,1,SEN6,KYLE,3,1,4,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.62
3319,2016-7-02,1,1,SEN6,KYLE,4,1,5,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,3,TRUE,FALSE,1.81
3319,2016-7-02,1,1,SEN6,KYLE,5,1,6,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1.97
3319,2016-7-02,1,1,SEN6,KYLE,6,1,6,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.14
3319,2016-7-02,1,1,SEN6,KYLE,7,1,7,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,2.35
3319,2016-7-02,1,1,SEN6,KYLE,8,1,8,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,2.52
3319,2016-7-02,1,1,SEN6,KYLE,9,1,9,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.09
3319,2016-7-02,1,1,SEN6,KYLE,10,1,10,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,3.27
3319,2016-7-02,1,1,SEN6,KYLE,11,1,11,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,3.64
3319,2016-7-02,1,1,SEN6,KYLE,12,1,12,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.98
3319,2016-7-02,1,1,SEN6,KYLE,13,1,13,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.45
3319,2016-7-02,1,1,SEN6,KYLE,14,1,14,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.76
3319,2016-7-02,1,1,SEN6,KYLE,15,1,15,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,4.88
3319,2016-7-02,1,1,SEN6,KYLE,16,1,15,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,5.06
3319,2016-7-02,1,1,SEN6,KYLE,17,1,16,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,5.32
3319,2016-7-02,1,1,SEN6,KYLE,18,1,17,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.82
3319,2016-7-02,1,1,SEN6,KYLE,19,1,18,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,6.15
3319,2016-7-02,1,1,SEN6,KYLE,20,1,19,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.4
3319,2016-7-02,1,1,SEN6,KYLE,21,1,20,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,6.79
3319,2016-7-02,1,1,SEN6,KYLE,22,2,1,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,7.15
3319,2016-7-02,1,1,SEN6,KYLE,23,2,2,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,7.48
3319,2016-7-02,1,1,SEN6,KYLE,24,2,3,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,7.74
3319,2016-7-02,1,1,SEN6,KYLE,25,2,4,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8
3319,2016-7-02,1,1,SEN6,KYLE,26,2,5,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.3
3319,2016-7-02,1,1,SEN6,KYLE,27,2,6,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,8.61
3319,2016-7-02,1,1,SEN6,KYLE,28,2,7,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.79
3319,2016-7-02,1,1,SEN6,KYLE,29,2,8,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,9.14
3319,2016-7-02,1,1,SEN6,KYLE,30,2,9,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,9.63
3319,2016-7-02,1,1,SEN6,KYLE,31,2,10,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,10.05
3319,2016-7-02,1,1,SEN6,KYLE,32,2,11,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.43
3319,2016-7-02,1,1,SEN6,KYLE,33,2,12,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,10.66
3319,2016-7-02,1,1,SEN6,KYLE,34,2,13,1,2,0.00001PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,10.95
