Program,LastRevision,Species,IntroS-,ChangeStopCrit,CritUsed,TotalTrials,ForceS+,SpecialCrit
IN-D2 csv YOUR SITE ,SEPT 1 2015,MOUSE,NO,STOP
,85,201,NO,NO
V1odour,V2odour,V3odour,V4odour,V5odour,V6odour,V7odour,V8odour
NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY
animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3319,2016-6-24,1,1,REV1,KYLE,0,1,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.21
3319,2016-6-24,1,1,REV1,KYLE,1,1,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.53
3319,2016-6-24,1,1,REV1,KYLE,2,1,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,0.9
3319,2016-6-24,1,1,REV1,KYLE,3,1,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,0,FALSE,FALSE,1.12
3319,2016-6-24,1,1,REV1,KYLE,4,1,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.34
3319,2016-6-24,1,1,REV1,KYLE,5,1,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,1.58
3319,2016-6-24,1,1,REV1,KYLE,6,1,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,1.72
3319,2016-6-24,1,1,REV1,KYLE,7,1,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,1.89
3319,2016-6-24,1,1,REV1,KYLE,8,1,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,2.01
3319,2016-6-24,1,1,REV1,KYLE,9,1,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,2.14
3319,2016-6-24,1,1,REV1,KYLE,10,1,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.45
3319,2016-6-24,1,1,REV1,KYLE,11,1,7,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,4,FALSE,FALSE,3.17
3319,2016-6-24,1,1,REV1,KYLE,12,1,8,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,3.48
3319,2016-6-24,1,1,REV1,KYLE,13,1,8,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,4.14
3319,2016-6-24,1,1,REV1,KYLE,14,1,9,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,4.51
3319,2016-6-24,1,1,REV1,KYLE,15,1,9,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,4.86
3319,2016-6-24,1,1,REV1,KYLE,16,1,9,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,5.48
3319,2016-6-24,1,1,REV1,KYLE,17,1,10,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,6,TRUE,TRUE,5.76
3319,2016-6-24,1,1,REV1,KYLE,18,1,11,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.14
3319,2016-6-24,1,1,REV1,KYLE,19,1,12,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,8,FALSE,FALSE,6.47
3319,2016-6-24,1,1,REV1,KYLE,20,1,13,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,5,FALSE,FALSE,6.95
3319,2016-6-24,1,1,REV1,KYLE,21,1,14,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,7.13
3319,2016-6-24,1,1,REV1,KYLE,22,1,15,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,9,TRUE,TRUE,7.3
3319,2016-6-24,1,1,REV1,KYLE,23,1,16,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,9,FALSE,FALSE,7.68
3319,2016-6-24,1,1,REV1,KYLE,24,1,17,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,7.88
3319,2016-6-24,1,1,REV1,KYLE,25,1,18,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,6,TRUE,TRUE,8.08
3319,2016-6-24,1,1,REV1,KYLE,26,1,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,8.26
3319,2016-6-24,1,1,REV1,KYLE,27,1,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,4,FALSE,FALSE,8.5
3319,2016-6-24,1,1,REV1,KYLE,28,1,20,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,8.81
3319,2016-6-24,1,1,REV1,KYLE,29,2,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,9.01
3319,2016-6-24,1,1,REV1,KYLE,30,2,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,9.17
3319,2016-6-24,1,1,REV1,KYLE,31,2,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,5,FALSE,FALSE,9.34
3319,2016-6-24,1,1,REV1,KYLE,32,2,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,4,FALSE,FALSE,9.81
3319,2016-6-24,1,1,REV1,KYLE,33,2,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,10.08
3319,2016-6-24,1,1,REV1,KYLE,34,2,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,7,TRUE,TRUE,10.44
3319,2016-6-24,1,1,REV1,KYLE,35,2,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,10.74
3319,2016-6-24,1,1,REV1,KYLE,36,2,7,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,10.91
3319,2016-6-24,1,1,REV1,KYLE,37,2,8,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,7,TRUE,TRUE,11.21
3319,2016-6-24,1,1,REV1,KYLE,38,2,9,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,11.69
3319,2016-6-24,1,1,REV1,KYLE,39,2,10,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,12.33
3319,2016-6-24,1,1,REV1,KYLE,40,2,11,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,1,FALSE,FALSE,12.69
3319,2016-6-24,1,1,REV1,KYLE,41,2,12,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,12.9
3319,2016-6-24,1,1,REV1,KYLE,42,2,13,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,4,FALSE,FALSE,13.11
3319,2016-6-24,1,1,REV1,KYLE,43,2,14,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,13.32
3319,2016-6-24,1,1,REV1,KYLE,44,2,15,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,13.49
3319,2016-6-24,1,1,REV1,KYLE,45,2,16,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,13.67
3319,2016-6-24,1,1,REV1,KYLE,46,2,16,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,8,TRUE,TRUE,13.92
3319,2016-6-24,1,1,REV1,KYLE,47,2,17,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,14.35
3319,2016-6-24,1,1,REV1,KYLE,48,2,18,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,8,TRUE,TRUE,14.81
3319,2016-6-24,1,1,REV1,KYLE,49,2,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,15.18
3319,2016-6-24,1,1,REV1,KYLE,50,2,20,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,8,TRUE,TRUE,15.4
3319,2016-6-24,1,1,REV1,KYLE,51,3,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,6,FALSE,FALSE,15.68
3319,2016-6-24,1,1,REV1,KYLE,52,3,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,3,TRUE,FALSE,15.96
3319,2016-6-24,1,1,REV1,KYLE,53,3,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,16.19
3319,2016-6-24,1,1,REV1,KYLE,54,3,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,16.35
3319,2016-6-24,1,1,REV1,KYLE,55,3,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,16.66
3319,2016-6-24,1,1,REV1,KYLE,56,3,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,17.08
3319,2016-6-24,1,1,REV1,KYLE,57,3,7,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,17.4
3319,2016-6-24,1,1,REV1,KYLE,58,3,8,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,17.74
3319,2016-6-24,1,1,REV1,KYLE,59,3,9,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,18.11
3319,2016-6-24,1,1,REV1,KYLE,60,3,10,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,23.28
3319,2016-6-24,1,1,REV1,KYLE,61,3,11,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,23.45
3319,2016-6-24,1,1,REV1,KYLE,62,3,12,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,23.78
3319,2016-6-24,1,1,REV1,KYLE,63,3,13,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,24.12
3319,2016-6-24,1,1,REV1,KYLE,64,3,14,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,24.5
3319,2016-6-24,1,1,REV1,KYLE,65,3,15,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,3,TRUE,FALSE,24.72
3319,2016-6-24,1,1,REV1,KYLE,66,3,16,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,25.58
3319,2016-6-24,1,1,REV1,KYLE,67,3,17,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,27.56
3319,2016-6-24,1,1,REV1,KYLE,68,3,18,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,29.8
3319,2016-6-24,1,1,REV1,KYLE,69,3,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,29.94
3319,2016-6-24,1,1,REV1,KYLE,70,3,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,30.17
3319,2016-6-24,1,1,REV1,KYLE,71,3,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,30.42
3319,2016-6-24,1,1,REV1,KYLE,72,3,20,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,30.94
3319,2016-6-24,1,1,REV1,KYLE,73,4,1,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,33.31
3319,2016-6-24,1,1,REV1,KYLE,74,4,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,33.48
3319,2016-6-24,1,1,REV1,KYLE,75,4,2,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,34.02
3319,2016-6-24,1,1,REV1,KYLE,76,4,3,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,36.66
3319,2016-6-24,1,1,REV1,KYLE,77,4,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,37.17
3319,2016-6-24,1,1,REV1,KYLE,78,4,4,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,37.39
3319,2016-6-24,1,1,REV1,KYLE,79,4,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,37.76
3319,2016-6-24,1,1,REV1,KYLE,80,4,5,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,37.92
3319,2016-6-24,1,1,REV1,KYLE,81,4,6,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,38.42
3319,2016-6-24,1,1,REV1,KYLE,82,4,7,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,39.18
3319,2016-6-24,1,1,REV1,KYLE,83,4,8,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,42.25
3319,2016-6-24,1,1,REV1,KYLE,84,4,9,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,42.79
3319,2016-6-24,1,1,REV1,KYLE,85,4,10,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,43.1
3319,2016-6-24,1,1,REV1,KYLE,86,4,11,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,43.86
3319,2016-6-24,1,1,REV1,KYLE,87,4,12,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,44.58
3319,2016-6-24,1,1,REV1,KYLE,88,4,13,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,45.05
3319,2016-6-24,1,1,REV1,KYLE,89,4,13,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,45.73
3319,2016-6-24,1,1,REV1,KYLE,90,4,14,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,45.88
3319,2016-6-24,1,1,REV1,KYLE,91,4,14,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,46.24
3319,2016-6-24,1,1,REV1,KYLE,92,4,15,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,46.55
3319,2016-6-24,1,1,REV1,KYLE,93,4,16,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,47.42
3319,2016-6-24,1,1,REV1,KYLE,94,4,17,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,48.09
3319,2016-6-24,1,1,REV1,KYLE,95,4,18,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,48.32
3319,2016-6-24,1,1,REV1,KYLE,96,4,18,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,48.74
3319,2016-6-24,1,1,REV1,KYLE,97,4,18,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,49.55
3319,2016-6-24,1,1,REV1,KYLE,98,4,19,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,N,FALSE,0,TRUE,FALSE,50.56
3319,2016-6-24,1,1,REV1,KYLE,99,4,20,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,50.78
3319,2016-6-24,1,1,REV1,KYLE,100,4,20,2,1,NUTMEG,SPEARMINT,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,51.22
