animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
3319,2016-6-29,1,1,SEN3,VIVIAN,0,1,1,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.34
3319,2016-6-29,1,1,SEN3,VIVIAN,1,1,2,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.5
3319,2016-6-29,1,1,SEN3,VIVIAN,2,1,3,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,0.82
3319,2016-6-29,1,1,SEN3,VIVIAN,3,1,4,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.98
3319,2016-6-29,1,1,SEN3,VIVIAN,4,1,5,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.16
3319,2016-6-29,1,1,SEN3,VIVIAN,5,1,6,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.32
3319,2016-6-29,1,1,SEN3,VIVIAN,6,1,7,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1.45
3319,2016-6-29,1,1,SEN3,VIVIAN,7,1,7,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,TRUE,0,NA,FALSE,1.58
3319,2016-6-29,1,1,SEN3,VIVIAN,8,1,7,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.76
3319,2016-6-29,1,1,SEN3,VIVIAN,9,1,8,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,8,FALSE,FALSE,1.95
3319,2016-6-29,1,1,SEN3,VIVIAN,10,1,9,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,FALSE,6,FALSE,FALSE,2.18
3319,2016-6-29,1,1,SEN3,VIVIAN,11,1,10,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.48
3319,2016-6-29,1,1,SEN3,VIVIAN,12,1,11,2,1,0.01PPM EA,BLANK,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,2.63
